IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.16.231.92,4,2,0.50,191.77,0.00,N/A
104.18.213.169,4,2,0.50,192.02,0.00,N/A
104.19.191.209,4,2,0.50,192.10,0.00,N/A
104.17.41.225,4,2,0.50,192.28,0.00,N/A
104.16.133.46,4,2,0.50,192.33,0.00,N/A
104.18.26.72,4,2,0.50,192.36,0.00,N/A
172.67.245.110,4,2,0.50,192.72,0.00,N/A
104.21.198.28,4,2,0.50,192.90,0.00,N/A
172.67.241.186,4,2,0.50,193.28,0.00,N/A
172.64.80.234,4,2,0.50,193.41,0.00,N/A
104.17.16.81,4,2,0.50,193.99,0.00,N/A
104.17.153.159,4,2,0.50,194.74,0.00,N/A
104.18.122.45,4,2,0.50,195.15,0.00,N/A
104.18.219.207,4,2,0.50,195.19,0.00,N/A
104.16.16.207,4,2,0.50,195.34,0.00,N/A
104.18.215.4,4,2,0.50,197.42,0.00,N/A
104.17.15.1,4,2,0.50,197.55,0.00,N/A
104.18.10.59,4,2,0.50,197.55,0.00,N/A
104.18.243.183,4,2,0.50,197.58,0.00,N/A
104.19.181.194,4,2,0.50,197.65,0.00,N/A
104.18.140.249,4,2,0.50,197.79,0.00,N/A
104.18.169.251,4,2,0.50,199.59,0.00,N/A
104.26.6.214,4,2,0.50,199.79,0.00,N/A
104.18.217.74,4,2,0.50,200.40,0.00,N/A
104.25.168.70,4,2,0.50,200.42,0.00,N/A
104.18.209.14,4,2,0.50,200.60,0.00,N/A
104.17.42.58,4,2,0.50,201.42,0.00,N/A
104.17.208.43,4,2,0.50,201.45,0.00,N/A
104.17.142.95,4,2,0.50,201.89,0.00,N/A
104.18.245.64,4,2,0.50,202.28,0.00,N/A
104.17.226.117,4,2,0.50,202.28,0.00,N/A
172.66.143.189,4,2,0.50,202.45,0.00,N/A
172.67.254.95,4,2,0.50,203.42,0.00,N/A
104.17.172.0,4,2,0.50,203.95,0.00,N/A
172.64.187.136,4,2,0.50,204.56,0.00,N/A
104.17.46.179,4,2,0.50,204.61,0.00,N/A
104.18.54.152,4,2,0.50,205.33,0.00,N/A
104.16.235.229,4,2,0.50,205.47,0.00,N/A
104.26.10.188,4,2,0.50,205.64,0.00,N/A
172.65.97.1,4,2,0.50,205.82,0.00,N/A
104.19.246.9,4,2,0.50,206.65,0.00,N/A
104.16.246.118,4,2,0.50,207.02,0.00,N/A
104.16.244.58,4,2,0.50,208.37,0.00,N/A
104.19.21.76,4,2,0.50,208.41,0.00,N/A
104.17.209.121,4,2,0.50,208.65,0.00,N/A
172.66.176.4,4,2,0.50,209.58,0.00,N/A
104.20.59.48,4,2,0.50,211.51,0.00,N/A
104.17.210.6,4,2,0.50,212.54,0.00,N/A
104.17.61.244,4,2,0.50,212.72,0.00,N/A
104.25.36.113,4,2,0.50,212.74,0.00,N/A
104.18.212.189,4,2,0.50,213.64,0.00,N/A
104.17.151.128,4,2,0.50,213.84,0.00,N/A
104.18.244.37,4,2,0.50,214.00,0.00,N/A
104.17.109.44,4,2,0.50,214.46,0.00,N/A
104.17.107.96,4,2,0.50,215.04,0.00,N/A
104.16.232.196,4,2,0.50,215.12,0.00,N/A
104.17.92.164,4,2,0.50,215.39,0.00,N/A
104.20.2.36,4,2,0.50,215.77,0.00,N/A
104.16.236.242,4,2,0.50,215.83,0.00,N/A
104.29.157.237,4,2,0.50,215.91,0.00,N/A
162.159.234.165,4,2,0.50,216.07,0.00,N/A
172.64.79.223,4,2,0.50,216.22,0.00,N/A
104.16.234.161,4,2,0.50,216.25,0.00,N/A
104.18.248.79,4,2,0.50,216.91,0.00,N/A
104.29.137.94,4,2,0.50,217.31,0.00,N/A
104.25.211.150,4,2,0.50,217.38,0.00,N/A
104.17.103.83,4,2,0.50,217.50,0.00,N/A
104.16.230.6,4,2,0.50,217.74,0.00,N/A
104.17.101.227,4,2,0.50,218.17,0.00,N/A
172.65.164.34,4,2,0.50,218.52,0.00,N/A
104.26.9.25,4,2,0.50,219.01,0.00,N/A
104.16.226.163,4,2,0.50,219.42,0.00,N/A
104.20.4.132,4,2,0.50,219.71,0.00,N/A
104.16.228.238,4,2,0.50,219.71,0.00,N/A
104.17.196.243,4,2,0.50,220.08,0.00,N/A
104.17.192.182,4,2,0.50,220.85,0.00,N/A
104.18.170.115,4,2,0.50,221.84,0.00,N/A
104.16.224.191,4,2,0.50,222.27,0.00,N/A
104.17.100.99,4,2,0.50,222.63,0.00,N/A
104.17.190.168,4,2,0.50,223.24,0.00,N/A
104.20.30.112,4,2,0.50,223.36,0.00,N/A
172.66.196.86,4,2,0.50,223.36,0.00,N/A
104.16.222.84,4,2,0.50,223.86,0.00,N/A
104.25.31.9,4,2,0.50,226.99,0.00,N/A
104.17.164.143,4,2,0.50,227.89,0.00,N/A
104.18.180.34,4,2,0.50,228.04,0.00,N/A
104.25.167.69,4,2,0.50,228.57,0.00,N/A
104.20.0.201,4,2,0.50,228.66,0.00,N/A
